vent	16.312	12.424	-0.507	
vent	5.691	31.078	-0.467	
gas	2.365	41.498	-2.636	
cube	-2.779	40.716	0.015	
gas	-12.428	38.415	-2.642	
vent	-6.200	57.564	-0.769	
backpack	-8.249	67.032	-3.073	
backpack	2.733	82.562	-3.225	
backpack	23.250	76.367	0.735	
vent	35.466	76.766	-0.149	
cellphone	28.716	56.422	0.396	
gas	25.247	49.573	-2.636	
survivor	22.830	43.323	-2.132	
fireextinguisher	21.302	21.275	-1.779	
survivor	26.412	27.885	-2.804	
drill	37.586	28.319	-3.330	
cube	38.475	35.244	-2.831	
fireextinguisher	32.304	37.460	-2.221	
backpack	37.282	47.555	-2.462	
fireextinguisher	41.835	44.808	-2.334	
drill	32.279	62.883	-3.400	
fireextinguisher	24.110	73.428	-2.567	
cellphone	26.317	78.550	-3.434	
drill	44.827	77.094	-3.647	
drill	21.450	2.903	-2.064	
backpack	29.217	5.221	-2.283	
rope	41.178	-1.821	-1.455	
helmet	43.848	-18.020	-1.940	
cellphone	38.384	16.876	-1.032	
helmet	42.219	31.199	-2.881	
cube	45.606	42.438	-0.943	
rope	55.554	45.340	-2.267	
helmet	50.708	63.537	-3.006	
helmet	58.785	89.678	-3.046	
survivor	67.591	64.533	-2.128	
rope	63.110	81.295	-3.227	
cellphone	56.409	107.671	-3.996	
rope	62.419	108.100	-1.968	
rope	68.968	102.119	-3.579	
helmet	60.583	140.839	-0.512
